time_id,time_bucket,rv_actual,rv_predicted,model
157,0,0.0009670407880235048,0.000905766950496578,lightgbm
157,1,0.0019109516702653794,0.0012361430945000249,lightgbm
157,2,0.0006303663056556317,0.0006040784792317588,lightgbm
157,3,0.0007995813669763374,0.0008398332750151296,lightgbm
157,4,0.001358063830669656,0.0012391517742057741,lightgbm
157,5,0.0014612181013111641,0.0010412877972452335,lightgbm
633,0,0.0011118609886029847,0.0006730363323938978,lightgbm
633,1,0.0006429031418397624,0.000583536348625671,lightgbm
633,2,0.0007841182975369877,0.0005426083417996244,lightgbm
633,3,0.0011311703378132972,0.0007148898501372625,lightgbm
633,4,0.0002959190016367208,0.0002536108224928389,lightgbm
633,5,0.0006886818950147909,0.0006431555402255379,lightgbm
886,0,0.0010825267999597331,0.0013161008852444111,lightgbm
886,1,0.0008561251357474316,0.000911842268006879,lightgbm
886,2,0.0008878648539670814,0.0009027342502857421,lightgbm
886,3,0.001240819651634005,0.0013354346486974,lightgbm
886,4,0.0009649868105303176,0.0009261261432588486,lightgbm
886,5,0.0011414072545789617,0.0011842013400968285,lightgbm
1292,0,0.00018423364665909675,0.00021234351388788966,lightgbm
1292,1,0.00024466530921404443,0.00026415109076722784,lightgbm
1292,2,0.00023049826076824905,0.00024356864968387926,lightgbm
1292,3,0.0002457264951926807,0.00028045584877431763,lightgbm
1292,4,0.00029177778229402725,0.00032946744021867424,lightgbm
1292,5,0.00025745061083399823,0.0002500705339762175,lightgbm
1513,0,0.0001403265486733162,0.00015322390219946002,lightgbm
1513,1,0.00031567026209894177,0.0002015448132828812,lightgbm
1513,2,0.00028020506585764047,0.0002676930984646533,lightgbm
1513,3,0.00011083323391904314,0.00011425515666655207,lightgbm
1513,4,0.00014668597819694879,0.00015118175135045366,lightgbm
1513,5,0.00026641248859559454,0.0002579431031364473,lightgbm
1663,0,0.00018895686300212847,0.00018351878166260904,lightgbm
1663,1,8.427711441553192e-05,9.504490698517764e-05,lightgbm
1663,2,0.00024041614212142506,0.00016694323747180924,lightgbm
1663,3,4.592457768950866e-05,3.872394016890987e-05,lightgbm
1663,4,9.350188642289792e-05,0.00011679969341412381,lightgbm
1663,5,0.00016475344876223602,0.00022665842836196864,lightgbm
1810,0,0.00025209123362455294,0.00022070205985515228,lightgbm
1810,1,0.00018883250140670543,0.00017664904572010085,lightgbm
1810,2,0.00012441606381432204,0.00015139980354479765,lightgbm
1810,3,0.000167006809975237,0.0001834529095702152,lightgbm
1810,4,0.0001845922275262314,0.00019059865099401861,lightgbm
1810,5,0.0002910384563479415,0.0002452387855502386,lightgbm
1820,0,0.0005350857270191087,0.0004903595023749071,lightgbm
1820,1,0.00047636530359556267,0.0004269813885376573,lightgbm
1820,2,0.0005831351755121881,0.00040154548989856904,lightgbm
1820,3,0.0007959166346526649,0.0007138194761316945,lightgbm
1820,4,0.000698357658938649,0.0007491060879047379,lightgbm
1820,5,0.0007799761825040291,0.000721148776495881,lightgbm
1862,0,0.00039791818045306713,0.00038157045930878753,lightgbm
1862,1,0.0010594214685088756,0.0008537482671825487,lightgbm
1862,2,0.0005492306384558151,0.0005023461626197193,lightgbm
1862,3,0.0009790981337969315,0.0008051039324466883,lightgbm
1862,4,0.0008178116422559931,0.0008085100837722173,lightgbm
1862,5,0.0007295434059316449,0.0007221036909215545,lightgbm
1920,0,0.00013778972165552273,0.0001850194755187975,lightgbm
1920,1,0.0002689399080352789,0.00030879847059874107,lightgbm
1920,2,0.00024329716751496255,0.0002716449528636684,lightgbm
1920,3,0.0002390194086657344,0.0002255172389567347,lightgbm
1920,4,0.00022697010146603835,0.0001849695546149324,lightgbm
1920,5,0.00023220766007217748,0.0001790755219997479,lightgbm
1998,0,0.00042555154630287884,0.00040873940382027597,lightgbm
1998,1,0.0005868212322914164,0.0005538811305820936,lightgbm
1998,2,0.0013155159079913234,0.0011376938569766842,lightgbm
1998,3,0.0011423414383618371,0.0010874608225984151,lightgbm
1998,4,0.0021015496496290895,0.0016225719877099194,lightgbm
1998,5,0.0025337807728330972,0.0019685263944634545,lightgbm
2553,0,0.0003958771073162921,0.0004105920670250667,lightgbm
2553,1,0.00036043657012857424,0.00036610661730508253,lightgbm
2553,2,0.0005751305001093131,0.0004451504671828374,lightgbm
2553,3,0.0004765241768460553,0.00044115258319003396,lightgbm
2553,4,0.0001549595780080402,0.00014468355365041636,lightgbm
2553,5,0.0003370872438646335,0.00034725095741106987,lightgbm
